L 30c1fc,4 hit 
S 34e1f4,4 miss eviction 
L 30c2e4,4 hit 
S 34ded4,4 hit 
L 30c2e8,4 hit 
S 34dfe0,4 miss eviction 
L 30c2ec,4 hit 
S 34e0ec,4 hit 
L 30c2f0,4 hit 
S 34e1f8,4 hit 
L 30c3d8,4 miss eviction 
S 34ded8,4 hit 
L 30c3dc,4 hit 
S 34dfe4,4 hit 
L 30c3e0,4 miss eviction 
S 34e0f0,4 hit 
L 30c3e4,4 hit 
S 34e1fc,4 hit 
L 30c4cc,4 hit 
S 34dedc,4 hit 
L 30c4d0,4 hit 
S 34dfe8,4 miss eviction 
L 30c4d4,4 hit 
S 34e0f4,4 hit 
L 30c4d8,4 hit 
S 34e200,4 miss eviction 
L 30c200,4 miss eviction 
S 34e300,4 miss eviction 
L 30c204,4 hit 
S 34e40c,4 miss eviction 
L 30c208,4 hit 
S 34e518,4 miss eviction 
L 30c20c,4 hit 
S 34e624,4 miss 
L 30c2f4,4 hit 
S 34e304,4 hit 
L 30c2f8,4 hit 
S 34e410,4 hit 
L 30c2fc,4 hit 
S 34e51c,4 hit 
L 30c300,4 miss eviction 
S 34e628,4 hit 
L 30c3e8,4 miss eviction 
S 34e308,4 miss eviction 
L 30c3ec,4 hit 
S 34e414,4 hit 
L 30c3f0,4 hit 
S 34e520,4 miss eviction 
L 30c3f4,4 hit 
S 34e62c,4 hit 
L 30c4dc,4 hit 
S 34e30c,4 hit 
L 30c4e0,4 miss eviction 
S 34e418,4 hit 
L 30c4e4,4 hit 
S 34e524,4 hit 
L 30c4e8,4 hit 
S 34e630,4 hit 
L 30c210,4 hit 
S 34e730,4 miss eviction 
L 30c214,4 hit 
S 34e83c,4 miss eviction 
L 30c218,4 hit 
S 34e948,4 miss eviction 
L 30c21c,4 hit 
S 34ea54,4 miss eviction 
L 30c304,4 miss eviction 
S 34e734,4 hit 
L 30c308,4 hit 
S 34e840,4 miss eviction 
L 30c30c,4 hit 
S 34e94c,4 hit 
L 30c310,4 hit 
S 34ea58,4 hit 
L 30c3f8,4 hit 
